,Address,Category,Latitude,Longitude,Name,Neighborhood
2,"C. Arenal,19",Bank,40.41766501575812,-3.7084923626579607,Banco Santander,Palacio
3,,Bank,40.42010972367336,-3.7095925383897352,Western Union,Palacio
4,"C/ Arenal, 24",Bank,40.417552239306794,-3.707848126704084,La Caixa,Palacio
5,"Pza de la Puerta del Sol, 8",Bank,40.41674714620124,-3.7045919895172115,Ria - Money Transfer & Change,Palacio
6,"Calle Alcalá, 27",Bank,40.41846268138767,-3.7092704123901177,Cecabank,Palacio
7,gran vía 62,Bank,40.42163553854262,-3.7085865209069433,La Caixa,Palacio
8,"Gran Via, 61",Bank,40.422463,-3.709547,BBVA Gran Via,Palacio
9,,Bank,40.413209203835656,-3.708348647773375,Bankia,Palacio
10,"Gran Via , 61",Bank,40.421965833688084,-3.7090969607774733,BBVA Oficina,Palacio
11,"Pl. De Santa Cruz, 2",Bank,40.414739381341604,-3.705623097875689,BBVA Oficina,Palacio
12,,Bank,40.41666260569378,-3.7042752437844153,Sucursal BBK,Palacio
13,Cuesta de San Vicente,Bank,40.4204363837258,-3.7158917523408928,Bankia,Palacio
14,Calle Mayor,Bank,40.41639859698702,-3.706004666029035,La Caixa,Palacio
15,"Pl. de Celenque, 2",Bank,40.41748442614424,-3.7058272612854024,Bankia,Palacio
16,C/ Antonio Mauro 20,Bank,40.41662124363072,-3.70602944328128,Deutsche Bank,Palacio
17,"Calle Gran Vía, 39, 28013 Madrid",Bank,40.419876558625624,-3.7061830625158447,Allianz Sucursal,Palacio
18,,Bank,40.41973529736642,-3.7058906908248854,Banesto,Palacio
19,Calle Mayor,Bank,40.415551,-3.710044,Popular,Palacio
20,,Bank,40.414132476729264,-3.711029740889393,Bankia,Palacio
21,C. Jacometrezo,Bank,40.41940147848404,-3.7071840766839967,Barclays Bank,Palacio
22,C. Mayor,Bank,40.416492,-3.707714,Barclays Bank,Palacio
0,"Calle MAYOR, 59",Pharmacy,40.415649253,-3.709787945,Real Farmacia Reina Madre,Palacio
1,,Pharmacy,40.41732662861956,-3.705781671304482,GNC Arenal,Palacio
2,"Calle de Preciados, 14, 28013 Madrid",Pharmacy,40.41868094298541,-3.7052068449881905,Farmacia Cea,Palacio
3,,Pharmacy,40.41811936595236,-3.7084973183509105,Farmacia,Palacio
4,"Preciados, 19",Pharmacy,40.419852,-3.7068686200000003,Farmacia Preciados 19,Palacio
5,"Calle Mayor, 59",Pharmacy,40.415643,-3.710004,Farmacia Mercedes Ramos Cid,Palacio
6,"Calle Mayor, 13, 28013 Madrid",Pharmacy,40.4164523131725,-3.7060343987331845,Farmacia Mayor 13,Palacio
7,,Pharmacy,40.413445,-3.713729,Farmacia Las Vistillas,Palacio
8,"Plaza de Puerta Cerrada, 5",Pharmacy,40.41357733286244,-3.709310058556423,Farmacia Isabel Ortega Herce,Palacio
9,"C/ Arenal, 2",Pharmacy,40.41714642868766,-3.704874836210067,Farmacia Arenal 2 (Antigua Farmacia Gayoso),Palacio
10,"Leganitos, 8",Pharmacy,40.42119089359745,-3.709929533936163,Farmacia Varela,Palacio
11,"Calle Mayor, 13",Pharmacy,40.41640566666666,-3.7058012888888894,Farmacia Lda. M. Teresa Jiménez Guijarro,Palacio
12,"Calle Gran Vía, 56, 28013 Madrid",Pharmacy,40.42110495556564,-3.706827277284899,Farmacia Rialto,Palacio
